x_cm,y_cm,z_cm,kineticEnergy_GeV
-15.1232,0.5402,349.9000,4.2046
-15.3196,0.6199,349.9000,4.1993
-14.4415,-0.8069,349.9000,4.2047
-14.0262,0.9709,349.9000,4.2057
-14.4397,-0.7286,349.9000,4.2006
-14.5852,0.0713,349.9000,4.2057
-14.6350,0.6306,349.9000,4.1951
-14.2938,1.4011,349.9000,4.2051
-14.3872,0.8573,349.9000,4.1908
-15.8562,0.3473,349.9000,4.2054
-16.0104,-0.4085,349.9000,4.2030
-13.2796,-0.7325,349.9000,4.2022
-12.9816,-0.4623,349.9000,4.2068
-14.8141,0.3160,349.9000,4.2065
-15.6130,0.9835,349.9000,4.2065
-14.8016,-1.1827,349.9000,4.2049
-14.8145,0.0476,349.9000,4.2014
-11.9008,0.7466,349.9000,4.1917
-16.6575,-0.2212,349.9000,4.1910
-13.6585,0.8612,349.9000,4.2056
-13.9048,-0.0488,349.9000,4.1970
-15.2831,-0.7340,349.9000,4.1970
-14.8758,-0.7036,349.9000,4.1850
-15.5855,-1.1998,349.9000,4.2034
-16.0040,0.9348,349.9000,4.2013
-15.0549,0.1753,349.9000,4.1983
-15.4690,-0.4059,349.9000,4.1840
-15.8701,-0.4152,349.9000,4.1885
-16.4566,-0.7531,349.9000,4.1795
-14.7783,0.3905,349.9000,4.2009
-18.3912,-3.5200,349.9000,4.1977
-14.9137,0.5881,349.9000,4.1991
-14.0208,1.1299,349.9000,4.1980
-15.5403,-0.0189,349.9000,4.2044
-13.7839,-2.2681,349.9000,4.2035
-15.0206,-1.2620,349.9000,4.1984
-16.2039,-0.1782,349.9000,4.2005
-14.1985,0.6551,349.9000,4.1993
-14.1765,0.8497,349.9000,4.1894
-14.5864,-0.2928,349.9000,4.2036
-13.8640,0.5862,349.9000,4.2037
-14.4601,1.3915,349.9000,4.1933
-14.4152,-1.2556,349.9000,4.1993
-14.3777,-0.7105,349.9000,4.2046
-14.9880,-0.1168,349.9000,4.2028
-13.6455,-0.0334,349.9000,4.1932
-14.6169,-0.4823,349.9000,4.2011
-16.0928,-0.8574,349.9000,4.2060
-12.2657,0.8909,349.9000,4.2036
-15.2273,-1.9724,349.9000,4.1963
-14.5528,0.8311,349.9000,4.2051
-14.0248,-0.6493,349.9000,4.2045
-13.5885,3.6671,349.9000,4.2049
-19.7244,0.7835,349.9000,4.2056
-14.2838,3.1848,349.9000,4.1882
-15.9785,-0.6441,349.9000,4.2052
-13.8250,-0.9479,349.9000,4.2046
-15.9381,0.4420,349.9000,4.2067
-15.9566,0.2310,349.9000,4.1931
-13.1717,2.4871,349.9000,4.1991
-15.4792,-0.0328,349.9000,4.2007
-16.2081,2.1044,349.9000,4.2028
-15.5260,-1.3639,349.9000,4.2065
-16.6628,1.3927,349.9000,4.2015
-14.0401,0.3684,349.9000,4.2041
-15.2547,-1.0470,349.9000,4.2013
-14.6354,-0.8209,349.9000,4.2080
-16.7231,-0.3333,349.9000,4.2023
-13.0131,1.1377,349.9000,4.2006
-15.5382,-0.3335,349.9000,4.2080
-14.4176,0.0931,349.9000,4.1896
-13.2628,0.3884,349.9000,4.2024
-15.7358,1.6497,349.9000,4.1916
-16.4482,1.2458,349.9000,4.1924
-15.0194,-1.1827,349.9000,4.2039
-14.5659,1.9904,349.9000,4.2047
-14.8252,0.0158,349.9000,4.1978
-16.2663,-0.4156,349.9000,4.2015
-14.4266,0.9879,349.9000,4.2029
-13.9050,-0.5382,349.9000,4.1990
-18.2299,0.6030,349.9000,4.2013
-14.7239,-3.1385,349.9000,4.2035
-14.8963,-0.4507,349.9000,4.2086
