x_cm,y_cm,z_cm,kineticEnergy_GeV
-14.3435,-2.2779,349.9000,4.2245
-15.8174,-2.8089,349.9000,4.2230
-11.9277,0.7855,349.9000,4.2245
-14.9914,1.6778,349.9000,4.2248
-12.9131,0.0570,349.9000,4.2216
-14.1816,0.5589,349.9000,4.2244
-15.1268,0.5569,349.9000,4.2245
-14.0288,-0.1115,349.9000,4.2240
-14.5617,0.3032,349.9000,4.2260
-14.2455,0.8384,349.9000,4.2237
-13.1797,1.8912,349.9000,4.2218
-17.0649,0.3235,349.9000,4.2236
-15.4480,2.1278,349.9000,4.2243
-14.9502,1.2940,349.9000,4.2258
-15.1050,-0.2456,349.9000,4.2244
-14.7541,0.0310,349.9000,4.2257
-15.7681,-1.2487,349.9000,4.2198
-14.0713,-1.1372,349.9000,4.2248
-15.1511,2.1841,349.9000,4.2228
-15.9023,0.5024,349.9000,4.2253
-15.0366,1.5063,349.9000,4.2158
-16.1629,-0.3734,349.9000,4.2233
-14.5841,-0.3328,349.9000,4.2229
-14.1526,0.0816,349.9000,4.2105
-14.4504,-0.5803,349.9000,4.2216
-12.4330,0.1667,349.9000,4.2268
-15.0232,0.9708,349.9000,4.2254
-15.0231,0.5934,349.9000,4.2204
-14.8494,-0.3400,349.9000,4.2257
-15.7050,0.1087,349.9000,4.2189
-15.2088,-0.9227,349.9000,4.2253
-13.8778,0.0770,349.9000,4.2240
-16.1272,0.1316,349.9000,4.2255
-15.1215,-0.2052,349.9000,4.2244
-12.6124,-1.0542,349.9000,4.2203
-13.8199,-0.4717,349.9000,4.2251
-14.5675,-0.0218,349.9000,4.2257
-14.6128,0.9998,349.9000,4.2123
-14.8933,0.6248,349.9000,4.2251
-14.7019,-1.0961,349.9000,4.2220
-15.1644,0.2057,349.9000,4.2117
-14.9712,1.9043,349.9000,4.2238
-14.2837,0.2057,349.9000,4.2256
-16.1112,0.3359,349.9000,4.2243
-14.4090,0.5579,349.9000,4.2229
-14.5799,-0.0794,349.9000,4.2253
-14.2654,0.0259,349.9000,4.2248
-14.4311,-0.2052,349.9000,4.2220
-13.7065,-0.7182,349.9000,4.2165
-14.3629,-0.8313,349.9000,4.2232
-14.7312,0.0113,349.9000,4.2244
-15.6473,0.9683,349.9000,4.2253
-14.4131,0.9318,349.9000,4.2251
-15.4130,0.4933,349.9000,4.2197
-15.2890,-0.7421,349.9000,4.2229
-14.0208,0.4078,349.9000,4.2233
-15.4889,1.1097,349.9000,4.2233
-14.4209,0.2177,349.9000,4.2224
-15.9585,0.9809,349.9000,4.2252
-11.6355,1.9239,349.9000,4.2243
-16.3683,-0.6736,349.9000,4.2223
-13.2403,0.4302,349.9000,4.2259
-13.8765,0.1517,349.9000,4.2244
-13.7193,0.1990,349.9000,4.2217
-16.5082,-0.3433,349.9000,4.2267
-15.5696,0.3133,349.9000,4.2204
-14.4640,-0.9086,349.9000,4.2249
-14.2802,-1.6410,349.9000,4.2221
-13.3216,-0.8337,349.9000,4.2212
-16.3034,-0.5239,349.9000,4.2238
-14.9518,1.2616,349.9000,4.2218
-14.5695,0.0509,349.9000,4.2255
-15.3509,1.2711,349.9000,4.2262
-15.0920,0.2400,349.9000,4.2181
-14.6803,-0.1839,349.9000,4.2249
-14.0104,0.9503,349.9000,4.2218
-14.4203,1.1514,349.9000,4.2244
-14.1563,-1.2553,349.9000,4.2222
-16.0696,0.6024,349.9000,4.2249
-14.3803,-0.6285,349.9000,4.2243
-13.9725,1.9655,349.9000,4.2192
-14.9922,-0.9049,349.9000,4.2226
-14.2182,1.3920,349.9000,4.2271
-13.6200,-0.4391,349.9000,4.2186
-14.3902,-1.1035,349.9000,4.2223
-15.4906,0.6012,349.9000,4.2163
-16.7792,0.6266,349.9000,4.2182
-14.1055,-0.2709,349.9000,4.2236
-15.4668,-0.5088,349.9000,4.2242
-15.7116,-1.0906,349.9000,4.2248
-16.9459,0.3122,349.9000,4.2259
-15.3709,0.2254,349.9000,4.2246
-15.2340,0.9654,349.9000,4.2231
-13.9082,-0.4994,349.9000,4.2229
-15.5528,1.4003,349.9000,4.2244
-14.7531,-0.9813,349.9000,4.2223
-15.0963,-1.0126,349.9000,4.2248
-12.6611,0.0310,349.9000,4.2242
-12.5298,-2.1333,349.9000,4.2251
-13.3397,-0.4021,349.9000,4.2241
-15.0221,-0.4287,349.9000,4.2254
-15.5507,0.3221,349.9000,4.2223
-13.8447,-1.0273,349.9000,4.2208
-13.6095,-0.4307,349.9000,4.2205
-14.7179,-0.0286,349.9000,4.2254
-14.4950,-0.4708,349.9000,4.2231
-15.1108,0.1071,349.9000,4.2242
-14.3044,-0.6076,349.9000,4.2239
-15.2584,1.3258,349.9000,4.2221
-14.6263,-0.3415,349.9000,4.2194
-12.3132,1.1452,349.9000,4.2181
-14.8163,-0.7765,349.9000,4.2221
-15.4921,-0.4646,349.9000,4.2257
-15.0637,-0.2800,349.9000,4.2245
-15.2771,0.0111,349.9000,4.2246
-16.0544,1.6184,349.9000,4.2211
-15.2538,-0.4073,349.9000,4.2239
-16.4966,0.1328,349.9000,4.2257
-14.8668,-0.7751,349.9000,4.2230
-13.3099,0.0188,349.9000,4.2249
-14.9117,0.7009,349.9000,4.2235
-13.9974,-0.1468,349.9000,4.2218
-11.7185,-3.3681,349.9000,4.2075
-12.8451,-0.8227,349.9000,4.2259
-15.2387,0.4907,349.9000,4.2151
-16.0980,0.2228,349.9000,4.2258
-15.8543,0.1546,349.9000,4.2251
-14.7715,2.4160,349.9000,4.2245
-16.5682,0.7766,349.9000,4.2105
