material,nEvents,nHits,transmission
Aluminum6061,100000,99533,0.9953
Aluminum6061,100000,99512,0.9951
Aluminum6061,100000,99475,0.9948
Aluminum6061,100000,99441,0.9944
Aluminum6061,100000,99450,0.9945
Aluminum6061,100000,77073,0.7707
Aluminum6061,100000,76025,0.7602
Aluminum6061,100000,74917,0.7492
Aluminum6061,100000,74606,0.7461
Aluminum6061,100000,75575,0.7558
Aluminum6061,100000,99521,0.9952
Aluminum6061,100000,99515,0.9951
Aluminum6061,100000,99443,0.9944
Aluminum6061,100000,99484,0.9948
Aluminum6061,100000,99447,0.9945
Aluminum6061,100000,76454,0.7645
Aluminum6061,100000,75734,0.7573
Aluminum6061,100000,74553,0.7455
Aluminum6061,100000,74682,0.7468
Aluminum6061,100000,75410,0.7541
Polycarbonate,100000,99533,0.9953
Polycarbonate,100000,99512,0.9951
Polycarbonate,100000,99475,0.9948
Polycarbonate,100000,99441,0.9944
Polycarbonate,100000,99450,0.9945
Polycarbonate,100000,87104,0.8710
Polycarbonate,100000,85767,0.8577
Polycarbonate,100000,84981,0.8498
Polycarbonate,100000,85079,0.8508
Polycarbonate,100000,85024,0.8502
Polycarbonate,100000,99521,0.9952
Polycarbonate,100000,99515,0.9951
Polycarbonate,100000,99443,0.9944
Polycarbonate,100000,99484,0.9948
Polycarbonate,100000,99447,0.9945
Polycarbonate,100000,86599,0.8660
Polycarbonate,100000,85760,0.8576
Polycarbonate,100000,84971,0.8497
Polycarbonate,100000,85068,0.8507
Polycarbonate,100000,85220,0.8522
